date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:19	34498/34498	---M--	200	added ('OK')	image/jpeg	etag:%22593bb46d-86c2%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/2.jpg	deothemes.com/envato/emaus/emaus_html/img/promo/2.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:19	38212/38212	---M--	200	added ('OK')	image/jpeg	etag:%22593bb46e-9544%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/1.jpg	deothemes.com/envato/emaus/emaus_html/img/promo/1.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:21	97163/97163	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22593bb48b-17b8b%22	http://deothemes.com/envato/emaus/emaus_html/js/jquery.min.js	deothemes.com/envato/emaus/emaus_html/js/jquery.min.js	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:22	14207/14207	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22593bb484-377f%22	http://deothemes.com/envato/emaus/emaus_html/js/bootstrap.min.js	deothemes.com/envato/emaus/emaus_html/js/bootstrap.min.js	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:23	74365/74365	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22593bb48d-1227d%22	http://deothemes.com/envato/emaus/emaus_html/js/plugins.js	deothemes.com/envato/emaus/emaus_html/js/plugins.js	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:24	76136/76136	---M--	200	added ('OK')	image/png	etag:%22593bc6c5-12968%22	http://deothemes.com/envato/emaus/emaus_html/img/hero/app.png	deothemes.com/envato/emaus/emaus_html/img/hero/app.png	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:24	8044/8044	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22593bb48d-1f6c%22	http://deothemes.com/envato/emaus/emaus_html/js/scripts.js	deothemes.com/envato/emaus/emaus_html/js/scripts.js	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:27	121089/121089	---M--	200	added ('OK')	image/jpeg	etag:%22593bc6fe-1d901%22	http://deothemes.com/envato/emaus/emaus_html/img/hero/hero_1.jpg	deothemes.com/envato/emaus/emaus_html/img/hero/hero_1.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:31	41048/41048	---M--	200	added ('OK')	application/font-woff2	etag:%22593bb54e-a058%22	http://deothemes.com/envato/emaus/emaus_html/fonts/ui-icons.woff2?28565742	deothemes.com/envato/emaus/emaus_html/fonts/ui-iconsdc9c.woff2	(from http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css)
17:37:34	81364/81364	---M--	200	added ('OK')	image/jpeg	etag:%22593bb453-13dd4%22	http://deothemes.com/envato/emaus/emaus_html/img/newsletter/newsletter_bg.jpg	deothemes.com/envato/emaus/emaus_html/img/newsletter/newsletter_bg.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index.html)
17:37:35	99798/99798	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22593bb4cf-185d6%22	http://deothemes.com/envato/emaus/emaus_html/fonts/ui-icons.svg?28565742	deothemes.com/envato/emaus/emaus_html/fonts/ui-iconsdc9c.svg	(from http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css)
17:37:36	47944/47944	---M--	200	added ('OK')	application/font-woff	etag:%22593bc63d-bb48%22	http://deothemes.com/envato/emaus/emaus_html/fonts/ui-icons.woff?28565742	deothemes.com/envato/emaus/emaus_html/fonts/ui-iconsdc9c.woff	(from http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css)
17:37:39	88615/88615	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Sep%202017%2016:37:36%20GMT	http://deothemes.com/envato/emaus/emaus_html/img/dropdown.png	deothemes.com/envato/emaus/emaus_html/img/dropdown.png	(from http://deothemes.com/envato/emaus/emaus_html/css/style.css)
17:37:39	116/116	---M--	200	added ('OK')	image/png	etag:%22593bb4a8-74%22	http://deothemes.com/envato/emaus/emaus_html/css/owl-carousel/grabbing.png	deothemes.com/envato/emaus/emaus_html/css/owl-carousel/grabbing.png	(from http://deothemes.com/envato/emaus/emaus_html/css/style.css)
17:37:40	79704/79704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22593bb4d9-13758%22	http://deothemes.com/envato/emaus/emaus_html/fonts/ui-icons.eot?28565742	deothemes.com/envato/emaus/emaus_html/fonts/ui-iconsdc9c.eot	(from http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css)
17:37:42	88615/88615	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Sep%202017%2016:37:40%20GMT	http://deothemes.com/envato/emaus/emaus_html/img/pattern.jpg	deothemes.com/envato/emaus/emaus_html/img/pattern.jpg	(from http://deothemes.com/envato/emaus/emaus_html/css/style.css)
17:37:46	23061/23061	---M--	200	added ('OK')	image/png	etag:%22593bc6c6-5a15%22	http://deothemes.com/envato/emaus/emaus_html/img/hero/iphone_app.png	deothemes.com/envato/emaus/emaus_html/img/hero/iphone_app.png	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:48	79536/79536	---M--	200	added ('OK')	application/octet-stream	etag:%22593bb528-136b0%22	http://deothemes.com/envato/emaus/emaus_html/fonts/ui-icons.ttf?28565742	deothemes.com/envato/emaus/emaus_html/fonts/ui-iconsdc9c.ttf	(from http://deothemes.com/envato/emaus/emaus_html/css/font-icons.css)
17:37:49	40398/40398	---M--	200	added ('OK')	image/jpeg	etag:%22593bb474-9dce%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/3.jpg	deothemes.com/envato/emaus/emaus_html/img/promo/3.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:49	3549/3549	---M--	200	added ('OK')	image/jpeg	etag:%22593bb47a-ddd%22	http://deothemes.com/envato/emaus/emaus_html/img/testimonials/1.jpg	deothemes.com/envato/emaus/emaus_html/img/testimonials/1.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:50	3555/3555	---M--	200	added ('OK')	image/jpeg	etag:%22593bb47a-de3%22	http://deothemes.com/envato/emaus/emaus_html/img/testimonials/2.jpg	deothemes.com/envato/emaus/emaus_html/img/testimonials/2.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:55	31637/31637	---M--	200	added ('OK')	image/jpeg	etag:%22593bb2c6-7b95%22	http://deothemes.com/envato/emaus/emaus_html/img/app_screens/1.jpg	deothemes.com/envato/emaus/emaus_html/img/app_screens/1.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:56	33893/33893	---M--	200	added ('OK')	image/jpeg	etag:%22593bb2c8-8465%22	http://deothemes.com/envato/emaus/emaus_html/img/app_screens/2.jpg	deothemes.com/envato/emaus/emaus_html/img/app_screens/2.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:56	82905/82905	---M--	200	added ('OK')	image/jpeg	etag:%22593bb485-143d9%22	http://deothemes.com/envato/emaus/emaus_html/img/video/video_bg.jpg	deothemes.com/envato/emaus/emaus_html/img/video/video_bg.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:56	69539/69539	---M--	200	added ('OK')	image/png	etag:%22593bb474-10fa3%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/iphone_app.png	deothemes.com/envato/emaus/emaus_html/img/promo/iphone_app.png	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:37:57	2017/2017	---M--	200	added ('OK')	image/png	etag:%22593bb476-7e1%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/signature.png	deothemes.com/envato/emaus/emaus_html/img/promo/signature.png	(from http://deothemes.com/envato/emaus/emaus_html/index-3.html)
17:38:00	38614/38614	---M--	200	added ('OK')	image/jpeg	etag:%22593bb2ce-96d6%22	http://deothemes.com/envato/emaus/emaus_html/img/app_screens/3.jpg	deothemes.com/envato/emaus/emaus_html/img/app_screens/3.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:38:01	32040/32040	---M--	200	added ('OK')	image/jpeg	etag:%22593bb2d1-7d28%22	http://deothemes.com/envato/emaus/emaus_html/img/app_screens/4.jpg	deothemes.com/envato/emaus/emaus_html/img/app_screens/4.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-2.html)
17:38:01	3289/3289	---M--	200	added ('OK')	image/jpeg	etag:%22593bb47c-cd9%22	http://deothemes.com/envato/emaus/emaus_html/img/testimonials/3.jpg	deothemes.com/envato/emaus/emaus_html/img/testimonials/3.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-3.html)
17:38:02	43976/43976	---M--	200	added ('OK')	image/png	etag:%22593bc677-abc8%22	http://deothemes.com/envato/emaus/emaus_html/img/hero/book.png	deothemes.com/envato/emaus/emaus_html/img/hero/book.png	(from http://deothemes.com/envato/emaus/emaus_html/index-3.html)
17:38:03	58368/58368	---M--	200	added ('OK')	image/jpeg	etag:%22593bb471-e400%22	http://deothemes.com/envato/emaus/emaus_html/img/promo/author.jpg	deothemes.com/envato/emaus/emaus_html/img/promo/author.jpg	(from http://deothemes.com/envato/emaus/emaus_html/index-3.html)
